t,Date,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
0,15/10/1998,288,15,14.3,258.1111111,13.27727273,1,360,0.9
1,15/10/1998,288,16,13.9,190.7777778,13.23913043,1,360,0.9
2,15/10/1998,288,17,13.6,44.88888889,13.19166667,1,360,0.9
3,15/10/1998,288,18,13.2,0,13.152,1,360,0.9
4,15/10/1998,288,19,13,0,13.12307692,1,360,0.9
5,15/10/1998,288,20,12.9,0,13.09259259,1,360,0.9
6,15/10/1998,288,21,12.7,0,13.06071429,1,360,0.9
7,15/10/1998,288,22,12.6,0,13.03103448,1,360,0.9
8,15/10/1998,288,23,12.4,0,13.00333333,1,360,0.9
9,15/10/1998,288,24,12.1,0,12.98709677,1,360,0.9
10,16/10/1998,289,1,12.2,0,12.996875,1,360,2.6
11,16/10/1998,289,2,12.4,0,13.03030303,1,360,2.6
12,16/10/1998,289,3,12.3,0,13.05151515,1,360,2.6
13,16/10/1998,289,4,12.2,0,13.08484848,1,360,2.6
14,16/10/1998,289,5,12.2,0,13.13333333,1,360,2.6
15,16/10/1998,289,6,12.2,0,13.20606061,1,360,2.6
16,16/10/1998,289,7,12.5,11.22222222,13.30909091,1,360,2.6
17,16/10/1998,289,8,13.3,89.77777778,13.43030303,1,360,2.6
18,16/10/1998,289,9,14.1,145.8888889,13.54545455,1,360,2.6
19,16/10/1998,289,10,15.2,280.5555556,13.64545455,1,360,2.6
20,16/10/1998,289,11,15.6,437.6666667,13.74545455,1,360,2.6
21,16/10/1998,289,12,15.6,347.8888889,13.82121212,1,360,2.6
22,16/10/1998,289,13,15.5,202,13.85757576,1,360,2.6
23,16/10/1998,289,14,16.4,314.2222222,13.88787879,0.97,360,2.6
24,16/10/1998,289,15,16.6,291.7777778,13.90909091,0.94,360,2.6
25,16/10/1998,289,16,16.4,213.2222222,13.90606061,0.93,360,2.6
26,16/10/1998,289,17,16,33.66666667,13.91515152,0.94,360,2.6
27,16/10/1998,289,18,15.7,0,13.92121212,0.97,360,2.6
28,16/10/1998,289,19,15.4,0,13.94242424,0.99,360,2.6
29,16/10/1998,289,20,14.7,0,13.97272727,1,360,2.6
30,16/10/1998,289,21,14.2,0,14.01515152,1,360,2.6
31,16/10/1998,289,22,13.8,0,14.05757576,1,360,2.6
32,16/10/1998,289,23,13.7,0,14.10606061,1,360,2.6
33,16/10/1998,289,24,14.6,0,14.15454545,1,360,2.6
34,17/10/1998,290,1,14.1,0,14.22424242,1,360,5.3
35,17/10/1998,290,2,14.3,0,14.34848485,1,360,5.3
36,17/10/1998,290,3,14.2,0,14.42424242,0.99,360,5.3
37,17/10/1998,290,4,14.4,0,14.5,0.96,360,5.3
38,17/10/1998,290,5,14.3,0,14.56060606,0.95,360,5.3
39,17/10/1998,290,6,14.3,0,14.58787879,0.94,360,5.3
40,17/10/1998,290,7,14.2,11.22222222,14.63939394,0.94,360,5.3
41,17/10/1998,290,8,14.7,56.11111111,14.7,0.95,360,5.3
42,17/10/1998,290,9,16.2,258.1111111,14.73939394,0.89,360,5.3
43,17/10/1998,290,10,14.7,202,14.68484848,0.94,360,5.3
44,17/10/1998,290,11,14.9,112.2222222,14.59393939,1,360,5.3
45,17/10/1998,290,12,14.3,157.1111111,14.45757576,1,360,5.3
46,17/10/1998,290,13,13.1,213.2222222,14.3,1,360,5.3
47,17/10/1998,290,14,13.9,426.4444444,14.11515152,0.96,360,5.3
48,17/10/1998,290,15,14.2,549.8888889,13.93333333,0.78,360,5.3
49,17/10/1998,290,16,13.8,336.6666667,13.71515152,0.67,360,5.3
50,17/10/1998,290,17,11.5,89.77777778,13.47575758,0.74,360,5.3
51,17/10/1998,290,18,11.1,0,13.23030303,0.76,360,5.3
52,17/10/1998,290,19,10.7,0,12.98181818,0.78,360,5.3
53,17/10/1998,290,20,10.4,0,12.70909091,0.82,360,5.3
54,17/10/1998,290,21,9.5,0,12.45454545,0.85,360,5.3
55,17/10/1998,290,22,9.5,0,12.22121212,0.89,360,5.3
56,17/10/1998,290,23,9.2,0,11.98787879,0.92,360,5.3
57,17/10/1998,290,24,8.7,0,11.76060606,0.95,360,5.3
58,18/10/1998,291,1,8.3,0,11.58484848,0.97,360,1.1
59,18/10/1998,291,2,7.8,0,11.42727273,0.98,360,1.1
60,18/10/1998,291,3,6.7,0,11.33939394,1,360,1.1
61,18/10/1998,291,4,7,0,11.29393939,1,360,1.1
62,18/10/1998,291,5,7,0,11.29393939,1,360,1.1
63,18/10/1998,291,6,6.5,0,11.24848485,1,360,1.1
64,18/10/1998,291,7,6.3,22.44444444,11.2,1,360,1.1
65,18/10/1998,291,8,7.9,224.4444444,11.15151515,1,360,1.1
66,18/10/1998,291,9,9.4,493.7777778,11.11212121,1,360,1.1
67,18/10/1998,291,10,11.2,583.5555556,11.01515152,1,360,1.1
68,18/10/1998,291,11,12.8,819.2222222,10.77575758,0.95,360,1.1
69,18/10/1998,291,12,14.2,864.1111111,10.56969697,0.63,360,1.1
